rideId,number,rideDate,occupation,collectedAt
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T20:10:23.736Z
1,6500-10,2017-12-06T18:55:30.609Z,8,2017-12-06T20:02:27.572Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T20:02:25.675Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T20:01:00.466Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:59:17.009Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:58:08.993Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:56:09.219Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:52:29.980Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:51:09.174Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:46:56.969Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:45:11.943Z
1,6500-10,2017-12-06T18:55:30.609Z,3,2017-12-06T19:41:47.086Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:38:55.159Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:34:55.118Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:31:19.802Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:27:06.503Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:25:14.866Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:21:44.084Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:20:10.313Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:18:17.754Z
1,6500-10,2017-12-06T18:55:30.609Z,2,2017-12-06T19:16:22.857Z
1,6500-10,2017-12-06T18:55:30.609Z,1,2017-12-06T19:13:36.691Z
1,6500-10,2017-12-06T18:55:30.609Z,1,2017-12-06T19:09:41.782Z
1,6500-10,2017-12-06T18:55:30.609Z,1,2017-12-06T19:06:39.939Z
1,6500-10,2017-12-06T18:55:30.609Z,1,2017-12-06T19:03:06.024Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:45:36.779Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:42:37.696Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:39:16.005Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:36:48.009Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:34:35.600Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:32:00.589Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:30:41.650Z
2,6500-10,2017-11-29T07:51:02.804Z,1,2017-11-29T09:28:26.100Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:25:20.105Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:24:16.670Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:22:48.932Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:19:36.558Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:17:43.351Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:12:21.350Z
2,6500-10,2017-11-29T07:51:02.804Z,3,2017-11-29T09:09:44.224Z
2,6500-10,2017-11-29T07:51:02.804Z,3,2017-11-29T09:07:09.237Z
2,6500-10,2017-11-29T07:51:02.804Z,3,2017-11-29T09:04:12.747Z
2,6500-10,2017-11-29T07:51:02.804Z,3,2017-11-29T09:02:22.963Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T09:00:33.574Z
2,6500-10,2017-11-29T07:51:02.804Z,2,2017-11-29T08:56:30.880Z
