date,unix_timestamp,timestamp,wifi,real,direction,kmh,lat,long
06/12/2017,1512587210,2017-12-06T19:06:50.000Z,3,1,0,0.6696,-23.649221749,-46.703615664
06/12/2017,1512587211,2017-12-06T19:06:51.000Z,3,1,0,0.1404,-23.649220696,-46.703617118
06/12/2017,1512587212,2017-12-06T19:06:52.000Z,3,1,0,0.2772,-23.649219038,-46.703618639
06/12/2017,1512587213,2017-12-06T19:06:53.000Z,3,1,0,0.14400000000000002,-23.649218622,-46.703619543
06/12/2017,1512587214,2017-12-06T19:06:54.000Z,3,1,0,0.1008,-23.649217985,-46.703620624
06/12/2017,1512587215,2017-12-06T19:06:55.000Z,3,1,0,0.054,-23.649217579,-46.703621654
06/12/2017,1512587216,2017-12-06T19:06:56.000Z,3,1,0,0.09000000000000001,-23.64921727,-46.703623011
06/12/2017,1512587217,2017-12-06T19:06:57.000Z,3,1,0,0.1728,-23.649218108,-46.703624095
06/12/2017,1512587218,2017-12-06T19:06:58.000Z,3,1,0,0.0828,-23.649218177,-46.70362549
06/12/2017,1512587219,2017-12-06T19:06:59.000Z,3,1,0,0.1044,-23.649217289,-46.703626465
06/12/2017,1512587220,2017-12-06T19:07:00.000Z,3,1,0,0.20520000000000002,-23.649216845,-46.703627575
06/12/2017,1512587221,2017-12-06T19:07:01.000Z,3,1,0,0.07919999999999999,-23.649216121,-46.703628836
06/12/2017,1512587222,2017-12-06T19:07:02.000Z,3,1,0,0.0504,-23.649214818,-46.703630098
06/12/2017,1512587223,2017-12-06T19:07:03.000Z,3,1,0,0.1728,-23.649213027,-46.703631294
06/12/2017,1512587224,2017-12-06T19:07:04.000Z,3,1,0,0.07919999999999999,-23.649211143,-46.703632598
06/12/2017,1512587225,2017-12-06T19:07:05.000Z,3,1,0,0.0252,-23.649208773,-46.703634038
06/12/2017,1512587226,2017-12-06T19:07:06.000Z,3,1,0,0.0864,-23.649204263,-46.703635977
06/12/2017,1512587227,2017-12-06T19:07:07.000Z,3,1,0,0.028800000000000003,-23.649200434,-46.703637786
06/12/2017,1512587228,2017-12-06T19:07:08.000Z,3,1,0,0.0972,-23.649197576,-46.703639003
06/12/2017,1512587229,2017-12-06T19:07:09.000Z,3,1,0,0.0684,-23.649194527,-46.70364053
06/12/2017,1512587230,2017-12-06T19:07:10.000Z,3,1,0,0.0432,-23.64919178,-46.703641158
06/12/2017,1512587231,2017-12-06T19:07:11.000Z,3,1,0,0.0432,-23.649188231,-46.703641954
06/12/2017,1512587232,2017-12-06T19:07:12.000Z,3,1,0,0.014400000000000001,-23.649185897,-46.703642338
06/12/2017,1512587233,2017-12-06T19:07:13.000Z,3,1,0,0.0504,-23.649184638,-46.703642339
06/12/2017,1512587234,2017-12-06T19:07:14.000Z,3,1,0,0.0828,-23.64918393,-46.703641919
06/12/2017,1512587235,2017-12-06T19:07:15.000Z,3,1,0,0.0252,-23.649183572,-46.703641508
06/12/2017,1512587236,2017-12-06T19:07:16.000Z,3,1,0,0.8964,-23.64918199,-46.70364019
06/12/2017,1512587237,2017-12-06T19:07:17.000Z,3,1,0,0.3888,-23.649179677,-46.703639974
06/12/2017,1512587238,2017-12-06T19:07:18.000Z,3,1,0,0.2844,-23.64917833,-46.703639999
06/12/2017,1512587239,2017-12-06T19:07:19.000Z,3,1,0,0.36000000000000004,-23.649178227,-46.703640225
06/12/2017,1512587240,2017-12-06T19:07:20.000Z,3,1,0,0.9036000000000001,-23.649179258,-46.703639763
06/12/2017,1512587241,2017-12-06T19:07:21.000Z,3,1,0,0.1656,-23.649179128,-46.703639247
06/12/2017,1512587242,2017-12-06T19:07:22.000Z,3,1,0,0.07919999999999999,-23.649178711,-46.703638576
06/12/2017,1512587243,2017-12-06T19:07:23.000Z,3,1,0,0.09000000000000001,-23.649178258,-46.703638316
06/12/2017,1512587244,2017-12-06T19:07:24.000Z,3,1,0,0.0648,-23.649177228,-46.703637151
06/12/2017,1512587245,2017-12-06T19:07:25.000Z,3,1,0,0.0252,-23.6491765,-46.703636575
06/12/2017,1512587246,2017-12-06T19:07:26.000Z,3,1,0,0.039599999999999996,-23.649177806,-46.703635419
06/12/2017,1512587247,2017-12-06T19:07:27.000Z,3,1,0,0.07919999999999999,-23.649177947,-46.703634965
06/12/2017,1512587248,2017-12-06T19:07:28.000Z,3,1,0,0.061200000000000004,-23.649177892,-46.703634759
06/12/2017,1512587249,2017-12-06T19:07:29.000Z,3,1,0,0.0684,-23.649176408,-46.703634578
06/12/2017,1512587250,2017-12-06T19:07:30.000Z,3,1,0,0.0828,-23.649177136,-46.70363391
06/12/2017,1512587251,2017-12-06T19:07:31.000Z,3,1,0,0.108,-23.649176764,-46.703633023
06/12/2017,1512587252,2017-12-06T19:07:32.000Z,3,1,0,1.1124,-23.649173502,-46.703631772
06/12/2017,1512587253,2017-12-06T19:07:33.000Z,3,1,0,0.0828,-23.649170644,-46.703631118
06/12/2017,1512587254,2017-12-06T19:07:34.000Z,3,1,0,0.12600000000000003,-23.649169185,-46.703631252
06/12/2017,1512587255,2017-12-06T19:07:35.000Z,3,1,0,0.234,-23.649163801,-46.703630988
