rideId,number,rideDate,occupation,collectedAt
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:56:19.938Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:52:56.668Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:50:28.905Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:44:45.326Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:43:03.209Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:39:19.950Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:33:54.208Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:30:57.646Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:27:34.914Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:25:30.637Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:20:54.638Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:18:07.194Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:13:45.258Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:11:49.270Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:07:03.913Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T14:03:56.698Z
0,6500-10,2017-12-13T12:53:26.868Z,8,2017-12-13T13:55:45.350Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:55:29.490Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:49:09.672Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:47:04.411Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:44:33.031Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:35:25.294Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:28:47.145Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:24:55.130Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:21:45.842Z
0,6500-10,2017-12-13T12:53:26.868Z,2,2017-12-13T13:16:57.875Z
0,6500-10,2017-12-13T12:53:26.868Z,1,2017-12-13T13:15:34.970Z
